FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
02/01/2024,Jabonería Barranquilla,,BANDA TRANSPORTADORA DE EMPAQUE DE JABONES,cable suelto,cable de tierra suelto hace corto circuito,120,1,2024,ENERO,,02/01/2024,Jabonería Barranquilla,BANDA TRANSPORTADORA DE EMPAQUE DE JABONES,cable suelto,cable de tierra suelto hace corto circuito
02/01/2024,Jabonería Barranquilla,,BOMBA DEL HOTWELL,fuga abundante de agua,sello mecánico con fuga,100,1,2024,ENERO,,02/01/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,fuga abundante de agua,sello mecánico con fuga
02/01/2024,Jabonería Barranquilla,,CHILLER CARRIER,alarma por temperatura alta,torre bac opera con un ventilador,75,1,2024,ENERO,,02/01/2024,Jabonería Barranquilla,CHILLER CARRIER,alarma por temperatura alta,torre bac opera con un ventilador
03/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,OPERANDO A BAJO FLUJO. RUIDO ANORMAL EN COMPRESORA,"CORREA TRANSMISION DETERIORADA, SIN REEMPLAZO EN ALMACEN DE REPUESTOS",177,1,2024,ENERO,,03/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,OPERANDO A BAJO FLUJO. RUIDO ANORMAL EN COMPRESORA,"CORREA TRANSMISION DETERIORADA, SIN REEMPLAZO EN ALMACEN DE REPUESTOS"
04/01/2024,A1,,ENCARTONADORA A1,fallo equipo meller,fallo equipo meller,135,1,2024,ENERO,,04/01/2024,A1,ENCARTONADORA A1,fallo equipo meller,fallo equipo meller
04/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla válvula hidráulica de seguridad,válvula hidráulica de seguridad no hace descarga,167,1,2024,ENERO,,04/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla válvula hidráulica de seguridad,válvula hidráulica de seguridad no hace descarga
04/01/2024,SBO6,,SOPLADORA SBO6,Coquilla con ducto tapado puesto 3,Coquilla con ducto tapado puesto 3,80,1,2024,ENERO,,04/01/2024,SBO6,SOPLADORA SBO6,Coquilla con ducto tapado puesto 3,Coquilla con ducto tapado puesto 3
05/01/2024,Bidones,,LLENADORA DE BIDONES N°1,AJUSTE EN SISTEMA NUEVO DE LLENADO (LAS BOQUILLAS,AJUSTE EN SISTEMA NUEVO DE LLENADO (LAS BOQUILLAS SE ATRANCAN AL BAJAR),20,1,2024,ENERO,,05/01/2024,Bidones,LLENADORA DE BIDONES N°1,AJUSTE EN SISTEMA NUEVO DE LLENADO (LAS BOQUILLAS,AJUSTE EN SISTEMA NUEVO DE LLENADO (LAS BOQUILLAS SE ATRANCAN AL BAJAR)
05/01/2024,SBO6,,COMPRESOR DE ALTA 4-HA-6LT,Baja presión de aceite hidráulico,Baja presión de aceite hidráulico,40,1,2024,ENERO,,05/01/2024,SBO6,COMPRESOR DE ALTA 4-HA-6LT,Baja presión de aceite hidráulico,Baja presión de aceite hidráulico
06/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Ensayo válvula hidráulica de seguridad de Krupp 1,"Ensayo válvula hidráulica de seguridad de Krupp 1, al devolverla a su posición la máquina no levantaba presión de trabajo.",484,2,2024,ENERO,,06/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Ensayo válvula hidráulica de seguridad de Krupp 1,"Ensayo válvula hidráulica de seguridad de Krupp 1, al devolverla a su posición la máquina no levantaba presión de trabajo."
06/01/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,PARO POR ROCE EN AGITADOR INTERNO DEL CRISTALIZADO,PARO POR ROCE EN AGITADOR INTERNO DEL CRISTALIZADOR INTERMEDI O#1,54,1,2024,ENERO,,06/01/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,PARO POR ROCE EN AGITADOR INTERNO DEL CRISTALIZADO,PARO POR ROCE EN AGITADOR INTERNO DEL CRISTALIZADOR INTERMEDI O#1
06/01/2024,Linea 1 Sólidos Barranquilla,,SELLADORA DE CAJAS L1,SE PARTE ESTRUCTURA DEL BRAZO NEUMATICO,SE PARTE ESTRUCTURA DEL BRAZO NEUMATICO,60,1,2024,ENERO,,06/01/2024,Linea 1 Sólidos Barranquilla,SELLADORA DE CAJAS L1,SE PARTE ESTRUCTURA DEL BRAZO NEUMATICO,SE PARTE ESTRUCTURA DEL BRAZO NEUMATICO
07/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,OP,DESGASTE EN TORNILLOS EXTRUSORES DE LA COMPRESORA 3,45,1,2024,ENERO,,07/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,OP,DESGASTE EN TORNILLOS EXTRUSORES DE LA COMPRESORA 3
07/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA,170,1,2024,ENERO,,07/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA
07/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla eléctrica de sensor postizo abierto,Falso contacto en una línea eléctrica,49,1,2024,ENERO,,07/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla eléctrica de sensor postizo abierto,Falso contacto en una línea eléctrica
07/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla en avance de pinza,Tornillos de sujeción partidos en mordaza de cadena,78,1,2024,ENERO,,07/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla en avance de pinza,Tornillos de sujeción partidos en mordaza de cadena
07/01/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,FALLO DE COMUNICACION,FALLO DE COMUNICACION,9,1,2024,ENERO,,07/01/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,FALLO DE COMUNICACION,FALLO DE COMUNICACION
07/01/2024,Linea 1 Sólidos Barranquilla,,TABLERO ELÉCTRICO PRINCIPAL DE LOS COMPRESORES VIL,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESO,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESOR,45,1,2024,ENERO,,07/01/2024,Linea 1 Sólidos Barranquilla,TABLERO ELÉCTRICO PRINCIPAL DE LOS COMPRESORES VIL,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESO,BAJONDE L FLUIDO ELECTRICO AL ARRANCAR EL COMPRESOR
08/01/2024,A2,,BANDAS TRANSP. DE ENVASE - CEDIS,DISPARO DE TERMICO EN PUENTE,DISPARO DE TERMICO EN PUENTE,3,1,2024,ENERO,,08/01/2024,A2,BANDAS TRANSP. DE ENVASE - CEDIS,DISPARO DE TERMICO EN PUENTE,DISPARO DE TERMICO EN PUENTE
08/01/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,OPER,DESGASTE EN TORNILLOS EXTRUSORES DE LA COMPRESORA 3,161,1,2024,ENERO,,08/01/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,OPER,DESGASTE EN TORNILLOS EXTRUSORES DE LA COMPRESORA 3
08/01/2024,SBO6,,SOPLADORA SBO6,Intervención sincronización y calibración de máqui,Intervención sincronización y calibración de máquinas,318,1,2024,ENERO,,08/01/2024,SBO6,SOPLADORA SBO6,Intervención sincronización y calibración de máqui,Intervención sincronización y calibración de máquinas
